GF
TGFbeta
p21
CDH1
CDH2
VIM
TWIST1
SNAI1
SNAI2
ZEB1
ZEB2
AKT1
DKK1
CTNNB1
NICD
p63
p53
p73
miR200
miR203
miR34
AKT2
ERK
SMAD
